Gene name,Mutated samples,Samples tested
A1CF,1,760
A1CF_ENST00000373995,1,760
A2M,2,760
A2ML1,3,760
A4GALT,1,760
AACS,1,760
AAK1,1,760
AAK1_ENST00000409085,1,760
AARSD1,1,760
AASDH,3,760
AASDH_ENST00000502617,1,760
AASS,3,760
AATK,1,760
AATK_ENST00000326724,1,760
ABCA1,1,760
ABCA10,2,760
ABCA12,2,760
ABCA13,7,760
ABCA13_ENST00000435803,7,760
ABCA2,1,760
ABCA4,2,760
ABCA4_ENST00000535735,1,760
ABCA5,2,760
ABCA6,2,760
ABCA7,1,760
ABCA8,1,760
ABCA9,3,760
ABCB1,1,760
ABCB11,2,760
ABCC11,1,760
ABCC2,1,760
ABCC4,1,760
ABCC4_ENST00000376887,1,760
ABCC6,1,760
ABCC9,3,760
ABCC9_ENST00000261201,1,760
ABCD1,2,760
ABCD4,1,760
ABCF1,1,760
ABHD15,1,760
ABHD2,1,760
ABHD8,1,760
ABI3BP,1,760
ABI3BP_ENST00000383691,1,760
ABI3BP_ENST00000471714,1,760
ABL2,2,770
ABL2_ENST00000502732,2,760
ABL2_ENST00000512653,2,760
ABLIM3,1,760
ABO,2,760
AC022601.1,1,760
AC022601.1_ENST00000554864,1,760
ACAA1,1,760
ACACB,1,760
ACADS,1,760
ACADSB,1,760
ACAN,3,760
ACBD4,2,760
ACBD4_ENST00000431281,2,760
ACBD5,1,760
ACBD5_ENST00000396271,1,760
ACCN1,2,760
ACCN1_ENST00000359872,1,760
ACCN2,1,760
ACCN4,1,760
ACCN5,1,760
ACCSL,1,760
ACE,2,760
ACE_ENST00000290863,1,760
ACOT12,1,760
ACPL2,2,760
ACPT,1,760
ACRC,2,760
ACSBG2,1,760
ACSF2,1,760
ACSL5,1,760
ACSM1,2,760
ACSM1_ENST00000219151,1,760
ACSS1,1,760
ACSS3,2,760
ACTBL2,1,760
ACTL6A,1,760
ACTL6B,1,760
ACTN1,1,760
ACTN2,2,760
ACTR10,1,760
ACTR1B,1,760
ACTR3,1,760
ACTR6,1,760
ACTR8,2,760
ACTR8_ENST00000231909,2,760
ACTRT2,1,760
ACVR1,1,760
ACVR1C,1,760
ACVRL1,1,760
ADAM19,1,760
ADAM19_ENST00000257527,1,760
ADAM20,1,760
ADAM21,1,760
ADAM21_ENST00000267499,1,760
ADAM22,2,760
ADAM22_ENST00000265727,2,760
ADAM22_ENST00000315984,2,760
ADAM28,2,760
ADAM29,2,760
ADAM30,3,760
ADAM32,1,760
ADAM7,1,760
ADAMTS10,1,760
ADAMTS12,4,760
ADAMTS14,2,760
ADAMTS14_ENST00000373208,1,760
ADAMTS16_ENST00000274181,1,760
ADAMTS17,2,760
ADAMTS2,1,760
ADAMTS20,2,760
ADAMTS20_ENST00000389420,2,760
ADAMTS6,1,760
ADAMTS6_ENST00000381055,2,760
ADAMTS7,4,760
ADAMTSL1,1,760
ADAMTSL1_ENST00000380548,2,760
ADAMTSL5,1,760
ADCK5,1,760
ADCY10,3,760
ADCY2,1,760
ADCY3,2,760
ADCY6,1,760
ADD1,1,760
ADD2,2,760
ADD2_ENST00000264436,2,760
ADD2_ENST00000430656,1,760
ADD3,1,760
ADH4,1,760
ADH6,1,760
ADH6_ENST00000394899,1,760
ADNP,1,760
ADNP2,1,760
ADPRHL2,1,760
ADRA2C,1,760
AFAP1,1,760
AFAP1L1,1,760
AFF1_ENST00000395146,1,760
AFF2,1,760
AFF2_ENST00000286437,2,760
AFF2_ENST00000370460,1,760
AFF4,1,760
AFG3L2,1,760
AFM,1,760
AFMID,2,760
AFP,1,760
AGA,1,760
AGAP1,1,760
AGBL2,1,760
AGBL5,1,760
AGBL5_ENST00000323064,1,760
AGC1,3,760
AGMO,1,760
AGPAT1,1,760
AGPAT5,1,760
AGT,2,760
AGXT2,2,760
AGXT2L1,1,760
AHCTF1,3,760
AHDC1,1,760
AHNAK,9,760
AHNAK2,1,760
AHNAK2_ENST00000333244,5,760
AHNAK_ENST00000378024,2,760
AHR,3,760
AHRR,1,760
AIFM2,1,760
AIM1,1,760
AK5,1,760
AK7,1,760
AKAP11,1,760
AKAP13,1,760
AKAP13_ENST00000394518,1,760
AKAP13_ENST00000426424,1,760
AKAP17A,1,760
AKAP2,1,760
AKAP3,1,760
AKAP3_ENST00000545990,1,760
AKAP4,3,760
AKAP6,1,760
AKAP9,2,760
AKAP9_ENST00000356239,2,760
AKD1_ENST00000424296,2,760
AKR1C3,1,760
ALAS2,1,760
ALAS2_ENST00000330807,2,760
ALAS2_ENST00000396198,1,760
ALDH16A1,2,760
